date,CPI_COMMON,CPI_MEDIAN,CPI_TRIM,STATIC_ATABLE_CPIHL,STATIC_ATABLE_CPILL,STATIC_ATABLE_V41690973
1996/1/1,1.2,1.5,1.5,3,1,1.6
1996/2/1,1,1.4,1.4,3,1,1.3
1996/3/1,1.1,1.3,1.3,3,1,1.5
1996/4/1,1.2,1.2,1.2,3,1,1.4
1996/5/1,1.1,1.2,1.2,3,1,1.5
1996/6/1,1.2,1.2,1.2,3,1,1.5
1996/7/1,1,1.2,1.2,3,1,1.3
1996/8/1,1.1,1.2,1.1,3,1,1.5
1996/9/1,1.2,1.2,1.2,3,1,1.5
1996/10/1,1.3,1.3,1.2,3,1,1.8
1996/11/1,1.4,1.4,1.3,3,1,1.9
1996/12/1,1.6,1.5,1.4,3,1,2.2
1997/1/1,1.6,1.4,1.4,3,1,2.2
1997/2/1,1.5,1.3,1.3,3,1,2.3
1997/3/1,1.6,1.3,1.4,3,1,1.9
1997/4/1,1.6,1.3,1.3,3,1,1.7
1997/5/1,1.4,1.2,1.2,3,1,1.5
1997/6/1,1.6,1.2,1.3,3,1,1.7
1997/7/1,1.5,1.1,1.1,3,1,1.7
1997/8/1,1.4,1.1,1.2,3,1,1.8
1997/9/1,1.4,1,1,3,1,1.7
1997/10/1,1.3,1,1,3,1,1.5
1997/11/1,1.1,0.9,0.9,3,1,0.9
1997/12/1,1.1,0.9,0.8,3,1,0.8
1998/1/1,1.3,1.1,1.1,3,1,1.1
1998/2/1,1.5,1.2,1.1,3,1,1
1998/3/1,1.4,1.1,1,3,1,1
1998/4/1,1.4,1.1,0.9,3,1,0.9
1998/5/1,1.5,1.2,0.9,3,1,1.1
1998/6/1,1.5,1.1,0.9,3,1,1
1998/7/1,1.6,1.2,1.1,3,1,1
1998/8/1,1.7,1.2,1.1,3,1,0.9
1998/9/1,1.8,1.3,1.1,3,1,0.7
1998/10/1,1.8,1.2,1.1,3,1,1.1
1998/11/1,2,1.4,1.3,3,1,1.2
1998/12/1,1.9,1.2,1.1,3,1,1
1999/1/1,1.9,1.1,1,3,1,0.7
1999/2/1,1.7,1.1,1,3,1,0.7
1999/3/1,1.8,1.1,1.1,3,1,1
1999/4/1,2,1.2,1.3,3,1,1.6
1999/5/1,2.1,1.2,1.3,3,1,1.5
1999/6/1,2,1.2,1.3,3,1,1.6
1999/7/1,1.9,1.2,1.3,3,1,1.9
1999/8/1,1.9,1.2,1.3,3,1,2.1
1999/9/1,2,1.3,1.5,3,1,2.6
1999/10/1,1.9,1.3,1.5,3,1,2.3
1999/11/1,1.9,1.3,1.5,3,1,2.2
1999/12/1,1.9,1.4,1.6,3,1,2.6
2000/1/1,1.5,1.3,1.5,3,1,2.2
2000/2/1,1.9,1.4,1.6,3,1,2.7
2000/3/1,1.9,1.4,1.6,3,1,3
2000/4/1,1.5,1.3,1.5,3,1,2.2
2000/5/1,1.7,1.4,1.6,3,1,2.4
2000/6/1,1.7,1.6,1.8,3,1,2.8
2000/7/1,1.9,1.6,1.8,3,1,2.9
2000/8/1,1.9,1.7,1.9,3,1,2.6
2000/9/1,1.8,1.6,1.8,3,1,2.7
2000/10/1,1.8,1.7,1.9,3,1,2.8
2000/11/1,2,1.8,2,3,1,3.2
2000/12/1,2.1,1.9,2.1,3,1,3.2
2001/1/1,2.4,2,2.2,3,1,3
2001/2/1,2.3,2.1,2.2,3,1,2.9
2001/3/1,2.2,2.1,2.1,3,1,2.4
2001/4/1,2.5,2.2,2.4,3,1,3.5
